Hardware,,,,,
,PART,UNIT COST,QUANTITY,TOTAL,LINK
,M5 x 45 countersunk hexbolt,$3.34,1,$3.34,https://www.aliexpress.us/item/2251832782301811.html?spm=a2g0o.productlist.main.6.2b9b7IGN7IGNwZ&algo_pvid=a8b70789-6a13-43dd-b49e-8f1e9324192c&algo_exp_id=a8b70789-6a13-43dd-b49e-8f1e9324192c-5&pdp_ext_f=%7B%22order%22%3A%222240%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.36%211.36%21%21%211.36%211.36%21%402101e9a217485846331338430ec059%2112000015944088829%21sea%21US%213447209169%21X&curPageLogUid=1BCBZR8szaY7&utparam-url=scene%3Asearch%7Cquery_from%3A
,GT2 Timing Belt Tensioner Torsion Spring,$1.63,1,$1.63,https://www.aliexpress.us/item/2251832660949905.html?
,5 to 8 mm shaft coupling ,$1.21,2,$2.42,https://www.aliexpress.us/item/2251832618318567.html?spm=a2g0o.productlist.main.1.28bbCtAVCtAVnl&algo_pvid=5adc1684-acf7-4236-a9ed-1eb2e03a6bb3&algo_exp_id=5adc1684-acf7-4236-a9ed-1eb2e03a6bb3-0&pdp_ext_f=%7B%22order%22%3A%22371%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.21%211.21%21%21%211.21%211.21%21%402101ec1f17485874536081082e145a%2165979663234%21sea%21US%213447209169%21X&curPageLogUid=5f4GUCVdGOdd&utparam-url=scene%3Asearch%7Cquery_from%3A
,2m gt2 6mm width open loop belt,$5.25,1,$5.25,https://www.aliexpress.us/item/3256805930504641.html?spm=a2g0o.productlist.main.6.f550IzB3IzB3Xy&algo_pvid=85a8a69d-eb93-47c7-8cdd-d26e2b45fffc&algo_exp_id=85a8a69d-eb93-47c7-8cdd-d26e2b45fffc-5&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%215.54%215.25%21%21%215.54%215.25%21%402101e07217485849444244452eaa7d%2112000035825231200%21sea%21US%213447209169%21X&curPageLogUid=vWDqrAAIg3PK&utparam-url=scene%3Asearch%7Cquery_from%3A
,Micro Limit Switch KW12-3 AC 250V 5A SPDT 1NO 1NC Micro Switch With Roller,$3.17,1,$3.17,https://www.aliexpress.us/item/3256808277942672.html?spm=a2g0o.productlist.main.1.278cbM2BbM2BBQ&algo_pvid=cc73b7ad-3fed-4787-91da-2010e328bca6&algo_exp_id=cc73b7ad-3fed-4787-91da-2010e328bca6-0&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%215.27%213.17%21%21%2137.67%2122.65%21%402103244417485886175848381edb28%2112000045245054935%21sea%21US%213447209169%21X&curPageLogUid=918sXJcG0bl5&utparam-url=scene%3Asearch%7Cquery_from%3A
,4 pack 2020 Aluminum Extrusion V-Slot 600mm,$29.99,1,$29.99,https://a.co/d/diMLGX6
,2PCS 350mm（13.78 Inches）Tr8x8 Lead Screw with T8 Brass Nut,$13.99,1,$13.99,https://a.co/d/b3srbob
,M3 countersunk screw set,$9.99,1,$9.99,https://a.co/d/4OXnjIt
,Anycubic Kobra 3 Build plate assembly,$24.99,1,$24.99,https://a.co/d/2GCKA8K
,m3 standoff set ,$6.99,1,$6.99,https://a.co/d/bvQ3HL7
